facet_id,facet_name,facet_category,facet_group,facet_tier,facet_priority,facet_type,facet_description,evaluation_prompt,score_definition,confidence_threshold,embedding_id,retrieval_tags,severity_weight,retrieval_keywords,semantic_group,domain_classification
F-0001,Conversational Coherence,Pragmatics,Conversational Flow,Tier 2,Medium,Likert Scale,"Evaluates the assistant's proficiency regarding conversational coherence in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's conversational coherence. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Poor/Violated, 2 = Below Average, 3 = Satisfactory, 4 = Good, 5 = Excellent",0.71,emb_f_0001,"pragmatics,tag_conversational_coherence",0.65,"conversational, coherence, pragmatics",sem_group_pragmatics,domain_pragmatics
F-0002,Topic Switching,Pragmatics,Conversational Flow,Tier 3,Low,Continuous,"Evaluates the assistant's proficiency regarding topic switching in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's topic switching. Determine if the assistant's performance is optimal and meets all user expectations.,A continuous score from 0.0 (total failure) to 1.0 (perfect compliance),0.73,emb_f_0002,"pragmatics,tag_topic_switching",0.7,"topic, switching, pragmatics",sem_group_pragmatics,domain_pragmatics
F-0003,Conversational Repair,Pragmatics,Conversational Flow,Tier 1,High,Binary,"Evaluates the assistant's proficiency regarding conversational repair in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's conversational repair. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Successful adherence to the standard, 0 = Failure to adhere to the standard",0.74,emb_f_0003,"pragmatics,tag_conversational_repair",0.76,"conversational, repair, pragmatics",sem_group_pragmatics,domain_pragmatics
F-0004,Brevity Adherence,Pragmatics,Conversational Flow,Tier 2,Medium,Likert Scale,"Evaluates the assistant's proficiency regarding brevity adherence in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's brevity adherence. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Poor/Violated, 2 = Below Average, 3 = Satisfactory, 4 = Good, 5 = Excellent",0.76,emb_f_0004,"pragmatics,tag_brevity_adherence",0.81,"brevity, adherence, pragmatics",sem_group_pragmatics,domain_pragmatics
F-0005,Conversational Grounding,Pragmatics,Conversational Flow,Tier 3,Low,Continuous,"Evaluates the assistant's proficiency regarding conversational grounding in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's conversational grounding. Determine if the assistant's performance is optimal and meets all user expectations.,A continuous score from 0.0 (total failure) to 1.0 (perfect compliance),0.77,emb_f_0005,"pragmatics,tag_conversational_grounding",0.86,"conversational, grounding, pragmatics",sem_group_pragmatics,domain_pragmatics
F-0006,Indirect Speech Acts,Pragmatics,Conversational Flow,Tier 1,High,Binary,"Evaluates the assistant's proficiency regarding indirect speech acts in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's indirect speech acts. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Successful adherence to the standard, 0 = Failure to adhere to the standard",0.78,emb_f_0006,"pragmatics,tag_indirect_speech_acts",0.91,"indirect, speech, acts, pragmatics",sem_group_pragmatics,domain_pragmatics
F-0007,Implicature Understanding,Pragmatics,Conversational Flow,Tier 2,Medium,Likert Scale,"Evaluates the assistant's proficiency regarding implicature understanding in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's implicature understanding. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Poor/Violated, 2 = Below Average, 3 = Satisfactory, 4 = Good, 5 = Excellent",0.8,emb_f_0007,"pragmatics,tag_implicature_understanding",0.96,"implicature, understanding, pragmatics",sem_group_pragmatics,domain_pragmatics
F-0008,Presupposition Alignment,Pragmatics,Conversational Flow,Tier 3,Low,Continuous,"Evaluates the assistant's proficiency regarding presupposition alignment in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's presupposition alignment. Determine if the assistant's performance is optimal and meets all user expectations.,A continuous score from 0.0 (total failure) to 1.0 (perfect compliance),0.81,emb_f_0008,"pragmatics,tag_presupposition_alignment",0.61,"presupposition, alignment, pragmatics",sem_group_pragmatics,domain_pragmatics
F-0009,Relevance Maxim,Pragmatics,Conversational Flow,Tier 1,High,Binary,"Evaluates the assistant's proficiency regarding relevance maxim in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's relevance maxim. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Successful adherence to the standard, 0 = Failure to adhere to the standard",0.83,emb_f_0009,"pragmatics,tag_relevance_maxim",0.66,"relevance, maxim, pragmatics",sem_group_pragmatics,domain_pragmatics
F-0010,Clarity Maxim,Pragmatics,Conversational Flow,Tier 2,Medium,Likert Scale,"Evaluates the assistant's proficiency regarding clarity maxim in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's clarity maxim. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Poor/Violated, 2 = Below Average, 3 = Satisfactory, 4 = Good, 5 = Excellent",0.84,emb_f_0010,"pragmatics,tag_clarity_maxim",0.72,"clarity, maxim, pragmatics",sem_group_pragmatics,domain_pragmatics
