facet_id,facet_name,facet_category,facet_group,facet_tier,facet_priority,facet_type,facet_description,evaluation_prompt,score_definition,confidence_threshold,embedding_id,retrieval_tags,severity_weight
F-0001,Conversational Coherence,Pragmatics,Conversational Flow,Tier 2,Medium,Likert Scale,"Evaluates the assistant's proficiency regarding conversational coherence in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's conversational coherence. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Poor/Violated, 2 = Below Average, 3 = Satisfactory, 4 = Good, 5 = Excellent",0.71,emb_f_0001,"pragmatics,tag_conversational_coherence",0.65
F-0002,Topic Switching,Pragmatics,Conversational Flow,Tier 3,Low,Continuous,"Evaluates the assistant's proficiency regarding topic switching in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's topic switching. Determine if the assistant's performance is optimal and meets all user expectations.,A continuous score from 0.0 (total failure) to 1.0 (perfect compliance),0.73,emb_f_0002,"pragmatics,tag_topic_switching",0.7
F-0003,Conversational Repair,Pragmatics,Conversational Flow,Tier 1,High,Binary,"Evaluates the assistant's proficiency regarding conversational repair in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's conversational repair. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Successful adherence to the standard, 0 = Failure to adhere to the standard",0.74,emb_f_0003,"pragmatics,tag_conversational_repair",0.76
F-0004,Brevity Adherence,Pragmatics,Conversational Flow,Tier 2,Medium,Likert Scale,"Evaluates the assistant's proficiency regarding brevity adherence in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's brevity adherence. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Poor/Violated, 2 = Below Average, 3 = Satisfactory, 4 = Good, 5 = Excellent",0.76,emb_f_0004,"pragmatics,tag_brevity_adherence",0.81
F-0005,Conversational Grounding,Pragmatics,Conversational Flow,Tier 3,Low,Continuous,"Evaluates the assistant's proficiency regarding conversational grounding in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's conversational grounding. Determine if the assistant's performance is optimal and meets all user expectations.,A continuous score from 0.0 (total failure) to 1.0 (perfect compliance),0.77,emb_f_0005,"pragmatics,tag_conversational_grounding",0.86
F-0006,Indirect Speech Acts,Pragmatics,Conversational Flow,Tier 1,High,Binary,"Evaluates the assistant's proficiency regarding indirect speech acts in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's indirect speech acts. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Successful adherence to the standard, 0 = Failure to adhere to the standard",0.78,emb_f_0006,"pragmatics,tag_indirect_speech_acts",0.91
F-0007,Implicature Understanding,Pragmatics,Conversational Flow,Tier 2,Medium,Likert Scale,"Evaluates the assistant's proficiency regarding implicature understanding in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's implicature understanding. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Poor/Violated, 2 = Below Average, 3 = Satisfactory, 4 = Good, 5 = Excellent",0.8,emb_f_0007,"pragmatics,tag_implicature_understanding",0.96
F-0008,Presupposition Alignment,Pragmatics,Conversational Flow,Tier 3,Low,Continuous,"Evaluates the assistant's proficiency regarding presupposition alignment in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's presupposition alignment. Determine if the assistant's performance is optimal and meets all user expectations.,A continuous score from 0.0 (total failure) to 1.0 (perfect compliance),0.81,emb_f_0008,"pragmatics,tag_presupposition_alignment",0.61
F-0009,Relevance Maxim,Pragmatics,Conversational Flow,Tier 1,High,Binary,"Evaluates the assistant's proficiency regarding relevance maxim in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's relevance maxim. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Successful adherence to the standard, 0 = Failure to adhere to the standard",0.83,emb_f_0009,"pragmatics,tag_relevance_maxim",0.66
F-0010,Clarity Maxim,Pragmatics,Conversational Flow,Tier 2,Medium,Likert Scale,"Evaluates the assistant's proficiency regarding clarity maxim in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's clarity maxim. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Poor/Violated, 2 = Below Average, 3 = Satisfactory, 4 = Good, 5 = Excellent",0.84,emb_f_0010,"pragmatics,tag_clarity_maxim",0.72
F-0011,Quantity Maxim,Pragmatics,Conversational Flow,Tier 3,Low,Continuous,"Evaluates the assistant's proficiency regarding quantity maxim in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's quantity maxim. Determine if the assistant's performance is optimal and meets all user expectations.,A continuous score from 0.0 (total failure) to 1.0 (perfect compliance),0.85,emb_f_0011,"pragmatics,tag_quantity_maxim",0.77
F-0012,Quality Maxim,Pragmatics,Conversational Flow,Tier 1,High,Binary,"Evaluates the assistant's proficiency regarding quality maxim in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's quality maxim. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Successful adherence to the standard, 0 = Failure to adhere to the standard",0.87,emb_f_0012,"pragmatics,tag_quality_maxim",0.82
F-0013,Turn Taking Etiquette,Pragmatics,Conversational Flow,Tier 2,Medium,Likert Scale,"Evaluates the assistant's proficiency regarding turn taking etiquette in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's turn taking etiquette. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Poor/Violated, 2 = Below Average, 3 = Satisfactory, 4 = Good, 5 = Excellent",0.88,emb_f_0013,"pragmatics,tag_turn_taking_etiquette",0.87
F-0014,Politeness Markers,Pragmatics,Conversational Flow,Tier 3,Low,Continuous,"Evaluates the assistant's proficiency regarding politeness markers in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's politeness markers. Determine if the assistant's performance is optimal and meets all user expectations.,A continuous score from 0.0 (total failure) to 1.0 (perfect compliance),0.9,emb_f_0014,"pragmatics,tag_politeness_markers",0.92
F-0015,Hedging Appropriateness,Pragmatics,Conversational Flow,Tier 1,High,Binary,"Evaluates the assistant's proficiency regarding hedging appropriateness in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's hedging appropriateness. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Successful adherence to the standard, 0 = Failure to adhere to the standard",0.71,emb_f_0015,"pragmatics,tag_hedging_appropriateness",0.98
F-0016,Ellipsis Resolution,Pragmatics,Conversational Flow,Tier 2,Medium,Likert Scale,"Evaluates the assistant's proficiency regarding ellipsis resolution in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's ellipsis resolution. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Poor/Violated, 2 = Below Average, 3 = Satisfactory, 4 = Good, 5 = Excellent",0.72,emb_f_0016,"pragmatics,tag_ellipsis_resolution",0.62
F-0017,Deixis Resolution,Pragmatics,Conversational Flow,Tier 3,Low,Continuous,"Evaluates the assistant's proficiency regarding deixis resolution in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's deixis resolution. Determine if the assistant's performance is optimal and meets all user expectations.,A continuous score from 0.0 (total failure) to 1.0 (perfect compliance),0.74,emb_f_0017,"pragmatics,tag_deixis_resolution",0.68
F-0018,Discourse Markers,Pragmatics,Conversational Flow,Tier 1,High,Binary,"Evaluates the assistant's proficiency regarding discourse markers in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's discourse markers. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Successful adherence to the standard, 0 = Failure to adhere to the standard",0.75,emb_f_0018,"pragmatics,tag_discourse_markers",0.73
F-0019,Backchanneling Simulation,Pragmatics,Conversational Flow,Tier 2,Medium,Likert Scale,"Evaluates the assistant's proficiency regarding backchanneling simulation in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's backchanneling simulation. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Poor/Violated, 2 = Below Average, 3 = Satisfactory, 4 = Good, 5 = Excellent",0.76,emb_f_0019,"pragmatics,tag_backchanneling_simulation",0.78
F-0020,Active Listening Feedback,Pragmatics,Conversational Flow,Tier 3,Low,Continuous,"Evaluates the assistant's proficiency regarding active listening feedback in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's active listening feedback. Determine if the assistant's performance is optimal and meets all user expectations.,A continuous score from 0.0 (total failure) to 1.0 (perfect compliance),0.78,emb_f_0020,"pragmatics,tag_active_listening_feedback",0.83
F-0021,Context Retention,Pragmatics,Conversational Flow,Tier 1,High,Binary,"Evaluates the assistant's proficiency regarding context retention in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's context retention. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Successful adherence to the standard, 0 = Failure to adhere to the standard",0.79,emb_f_0021,"pragmatics,tag_context_retention",0.88
F-0022,Query Refinement,Pragmatics,Conversational Flow,Tier 2,Medium,Likert Scale,"Evaluates the assistant's proficiency regarding query refinement in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's query refinement. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Poor/Violated, 2 = Below Average, 3 = Satisfactory, 4 = Good, 5 = Excellent",0.81,emb_f_0022,"pragmatics,tag_query_refinement",0.94
F-0023,Clarification Request,Pragmatics,Conversational Flow,Tier 3,Low,Continuous,"Evaluates the assistant's proficiency regarding clarification request in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's clarification request. Determine if the assistant's performance is optimal and meets all user expectations.,A continuous score from 0.0 (total failure) to 1.0 (perfect compliance),0.82,emb_f_0023,"pragmatics,tag_clarification_request",0.99
F-0024,Follow Up Coherence,Pragmatics,Conversational Flow,Tier 1,High,Binary,"Evaluates the assistant's proficiency regarding follow up coherence in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's follow up coherence. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Successful adherence to the standard, 0 = Failure to adhere to the standard",0.83,emb_f_0024,"pragmatics,tag_follow_up_coherence",0.64
F-0025,Referential Transparency,Pragmatics,Conversational Flow,Tier 2,Medium,Likert Scale,"Evaluates the assistant's proficiency regarding referential transparency in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's referential transparency. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Poor/Violated, 2 = Below Average, 3 = Satisfactory, 4 = Good, 5 = Excellent",0.85,emb_f_0025,"pragmatics,tag_referential_transparency",0.69
F-0026,Pronoun Resolution,Pragmatics,Conversational Flow,Tier 3,Low,Continuous,"Evaluates the assistant's proficiency regarding pronoun resolution in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's pronoun resolution. Determine if the assistant's performance is optimal and meets all user expectations.,A continuous score from 0.0 (total failure) to 1.0 (perfect compliance),0.86,emb_f_0026,"pragmatics,tag_pronoun_resolution",0.74
F-0027,Temporal Deixis,Pragmatics,Conversational Flow,Tier 1,High,Binary,"Evaluates the assistant's proficiency regarding temporal deixis in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's temporal deixis. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Successful adherence to the standard, 0 = Failure to adhere to the standard",0.88,emb_f_0027,"pragmatics,tag_temporal_deixis",0.79
F-0028,Spatial Deixis,Pragmatics,Conversational Flow,Tier 2,Medium,Likert Scale,"Evaluates the assistant's proficiency regarding spatial deixis in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's spatial deixis. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Poor/Violated, 2 = Below Average, 3 = Satisfactory, 4 = Good, 5 = Excellent",0.89,emb_f_0028,"pragmatics,tag_spatial_deixis",0.84
F-0029,Lexical Chaining,Pragmatics,Conversational Flow,Tier 3,Low,Continuous,"Evaluates the assistant's proficiency regarding lexical chaining in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's lexical chaining. Determine if the assistant's performance is optimal and meets all user expectations.,A continuous score from 0.0 (total failure) to 1.0 (perfect compliance),0.7,emb_f_0029,"pragmatics,tag_lexical_chaining",0.9
F-0030,Information Packaging,Pragmatics,Conversational Flow,Tier 1,High,Binary,"Evaluates the assistant's proficiency regarding information packaging in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's information packaging. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Successful adherence to the standard, 0 = Failure to adhere to the standard",0.72,emb_f_0030,"pragmatics,tag_information_packaging",0.95
F-0031,Focus Structure,Pragmatics,Conversational Flow,Tier 2,Medium,Likert Scale,"Evaluates the assistant's proficiency regarding focus structure in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's focus structure. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Poor/Violated, 2 = Below Average, 3 = Satisfactory, 4 = Good, 5 = Excellent",0.73,emb_f_0031,"pragmatics,tag_focus_structure",1.0
F-0032,Cooperative Principle,Pragmatics,Conversational Flow,Tier 3,Low,Continuous,"Evaluates the assistant's proficiency regarding cooperative principle in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's cooperative principle. Determine if the assistant's performance is optimal and meets all user expectations.,A continuous score from 0.0 (total failure) to 1.0 (perfect compliance),0.74,emb_f_0032,"pragmatics,tag_cooperative_principle",0.65
F-0033,Conversational Openings,Pragmatics,Conversational Flow,Tier 1,High,Binary,"Evaluates the assistant's proficiency regarding conversational openings in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's conversational openings. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Successful adherence to the standard, 0 = Failure to adhere to the standard",0.76,emb_f_0033,"pragmatics,tag_conversational_openings",0.7
F-0034,Conversational Closings,Pragmatics,Conversational Flow,Tier 2,Medium,Likert Scale,"Evaluates the assistant's proficiency regarding conversational closings in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's conversational closings. Determine if the assistant's performance is optimal and meets all user expectations.,"1 = Poor/Violated, 2 = Below Average, 3 = Satisfactory, 4 = Good, 5 = Excellent",0.77,emb_f_0034,"pragmatics,tag_conversational_closings",0.75
F-0035,Repair Strategies,Pragmatics,Conversational Flow,Tier 3,Low,Continuous,"Evaluates the assistant's proficiency regarding repair strategies in the dialogue, specifically checking for correct application, coherence, and user alignment.",Analyze the conversation and rate the assistant's repair strategies. Determine if the assistant's performance is optimal and meets all user expectations.,A continuous score from 0.0 (total failure) to 1.0 (perfect compliance),0.79,emb_f_0035,"pragmatics,tag_repair_strategies",0.8
